ID,GESTION,CATEGORIA,MES,BIMESTRE,TRIMESTRE,CUATRIMESTRE,SEMESTRE,ADUANA,NANDINA,PARTIDA,SUBPARTIDA,CAPITULO,SECCION,PAIS,AREA,MEDIO,VIA,DEPTO,CUCI,GCE,SECTOR,CODACT,CIIU_SECCION,CIIU,TNT,TNT_GRUPO,TNT_CLASE,KILBRU,KILNET,FINUNI,VALOR
72,1992,1,1,1,1,1,1,0,4104220000,4104,410422,41,8,361,57,9,3,2,61141,220,4,D10,D,1911,15,21,2,17752,17752,17752,36000
73,1992,1,1,1,1,1,1,0,6914900000,6914,691490,69,13,386,40,5,9,2,66399,220,4,D29,D,2691,34,21,2,285,285,285,776
74,1992,1,1,1,1,1,1,0,2617100000,2617,261710,26,5,399,50,9,3,2,28799,210,3,C6,C,1320,5,11,1,22030,21149,14212,20607
75,1992,1,1,1,1,1,1,0,4407009011,4407,440700,44,9,493,10,9,3,2,24501,220,4,D13,D,2010,16,21,2,371250,371250,275000,314237
76,1992,1,1,1,1,1,1,0,4407009012,4407,440700,44,9,493,10,9,3,2,24501,220,4,D13,D,2010,16,21,2,371250,371250,275000,314237
77,1992,1,1,1,1,1,1,0,0901110000,0901,090111,09,2,556,56,3,3,2,07111,111,1,A2,A,0113,10,21,2,17914,17520,17520,32324
78,1992,1,1,1,1,1,1,0,4202999000,4202,420299,42,8,573,40,5,9,2,83199,620,4,D10,D,1912,15,21,2,35,35,35,1753
79,1992,1,1,1,1,1,1,0,9205900000,9205,920590,92,18,573,40,5,9,2,89823,610,4,D29,D,3692,34,21,2,35,35,35,1754
80,1992,1,1,1,1,1,1,0,0301100000,0301,030110,03,1,589,10,5,9,2,03411,112,1,B1,B,0500,34,21,2,500,500,500,451
81,1992,1,1,1,1,1,1,0,4108000000,4108,410800,41,8,589,10,5,9,2,61181,220,4,D10,D,1911,15,21,2,540,540,540,4050
82,1992,1,1,1,1,1,1,0,4820200000,4820,482020,48,10,589,10,5,9,2,64232,220,4,D29,D,2221,34,21,2,380,380,380,400
83,1992,1,1,1,1,1,1,0,6103420000,6103,610342,61,11,589,10,8,6,2,84324,620,4,D11,D,1810,34,21,2,168,168,168,2018
84,1992,1,1,1,1,1,1,0,1701990000,1701,170199,17,4,589,10,9,10,2,06129,122,4,D2,D,1542,12,21,2,500000,500000,500000,197500
85,1992,1,1,1,1,1,1,0,1704901000,1704,170490,17,4,589,10,9,10,2,06229,122,4,D6,D,1543,34,21,2,790,790,790,1950
86,1992,1,1,1,1,1,1,0,4101300000,4101,410130,41,8,589,10,9,10,2,21112,210,4,D10,D,1511,15,21,2,45000,45000,45000,45000
87,1992,1,1,1,1,1,1,0,4804190000,4804,480419,48,10,589,10,9,10,2,64141,220,4,D14,D,2101,34,21,2,21482,21482,21482,25200
88,1992,1,1,1,1,1,1,0,4819100000,4819,481910,48,10,589,10,9,10,2,64211,220,4,D14,D,2102,34,21,2,16000,16000,16000,17000
89,1992,1,1,1,1,1,1,0,5407100000,5407,540710,54,11,589,10,9,10,2,65311,220,4,D9,D,1711,34,21,2,2833,2833,2833,6416
90,1992,1,1,1,1,1,1,0,5601290000,5601,560129,56,11,589,10,9,10,2,65771,220,4,D9,D,1729,34,21,2,1620,1620,1620,11600
91,1992,1,1,1,1,1,1,0,5806320000,5806,580632,58,11,589,10,9,10,2,65613,220,4,D9,D,1729,34,21,2,500,500,500,240
92,1992,1,1,1,1,1,1,0,5807900000,5807,580790,58,11,589,10,9,10,2,65629,220,4,D9,D,1729,34,21,2,100,100,100,150
93,1992,1,1,1,1,1,1,0,7204490000,7204,720449,72,15,589,10,9,10,2,28239,210,4,D29,D,3710,34,21,2,300980,300980,300980,25483
